"text","created_at","sourcetweet_type"
"RT @SholaMos1: ❤️I love Michelle Yeoh 👏🏽👏🏽👏🏽👏🏽👏🏽 #BestActress in #Oscars2023 is so very well deserved - that in its 95 yrs only TWO non-Whi…","2023-03-14T05:38:24.000Z","retweeted"
"RT @KeithBeauchamp: Snub of Black performances in 2023 Oscar nods has some declaring #OscarsSoWhite again https://t.co/pgOv75UgNT","2023-01-24T21:34:57.000Z","retweeted"
"RT @ReignOfApril: It’s 2023. You’re literally celebrating 95 years of awards &amp; are just now naming an Asian woman as Best Actress. Michelle…","2023-03-13T05:22:08.000Z","retweeted"
"I don't pay attention to white awards shows. They will never give us what we've earned. #oscars are played out. #Oscars2023 #OscarsSoWhite #BlackTwitter","2023-03-13T01:27:51.000Z",NA
"A white marketing campaign to push #andreariseborough to the #Oscars2023 has resulted to the snub of 2 favourite Black actresses Viola David &amp; Danielle Deadwyler. That's so unfair and #oscarssowhite again.","2023-01-24T14:02:53.000Z",NA
"Those critiquing Ms. Bassett’s reaction at the Oscars haven’t registered that @nopemovie wasn’t even nominated. It’s a perfect Hollywood tale, but even that’s not enough for y’all to see how white mediocrity always trumps Black excellence in your #OscarsSoWhite #SoMale #SoBoring","2023-03-13T07:47:02.000Z",NA
"RT @Olas_Truth: The generation railing against millennials and their “participation trophies” demanding we applaud the annual celebration o…","2023-03-14T02:05:28.000Z","retweeted"
"RT @theconnectsean: #eddiemurphy told y’all in 1988 and #jadapinkettsmith in 2016 but y’all still think them folk gonna be fair. #oscars #t…","2023-03-13T10:26:04.000Z","retweeted"
"RT @RussellHFilm: Eddie Murphy already knew how today would go #OscarNoms #OscarsSoWhite https://t.co/p8TKiNs4TB","2020-01-13T15:11:48.000Z","retweeted"
"RT @TheZanetta: They support and reward us when it's CONVENIENT!!
#OscarsSoWhite 

https://t.co/SWy2Pe1wNY","2023-03-14T01:07:02.000Z","retweeted"
"RT @ReignOfApril: It’s 2023. You’re literally celebrating 95 years of awards &amp; are just now naming an Asian woman as Best Actress. Michelle…","2023-03-13T05:03:40.000Z","retweeted"
"RT @NatalieBograd: How did Top Gun get a best picture nomination but @nopemovie didn’t? #Oscars2023 #oscarssowhite #jordanpeele","2023-01-24T16:49:15.000Z","retweeted"
"On Sunday, March 12th, I will boycott the Oscars in support of #OscarsSoWhite after the Oscars' recent snubbing of the Woman King and Till.  Please join me.","2023-01-30T01:59:07.000Z",NA
"RT @EjElite1: This line by Angela Bassett itself was worthy of an #Oscar. #OscarsSoWhite https://t.co/CAK0Ui9rZK","2023-03-13T18:41:35.000Z","retweeted"
"RT @Andrij_H: #OscarsSoWhite that it reached its logical conclusion — awarding the movie about a russian chauvinist
#Oscar #Oscars95","2023-03-13T07:01:00.000Z","retweeted"
"Jimmy Kimmel is hosting The Oscars this year. Curious how this helps the #OscarsSoWhite campaign? https://t.co/l0sn0D5dmX","2023-03-10T13:45:45.000Z",NA
"Damn shame that “The Woman King” will not even win one Oscar from the Academy of Motion Pictures. Apparently, Hollywood can not/has not imagine(d) and reward(ed) a scenario of Black people/Black women defeating captivity, colonialism, and oppression. #OscarsSoWhite","2023-03-12T17:55:34.000Z",NA
"RT @ReignOfApril: It’s 2023. You’re literally celebrating 95 years of awards &amp; are just now naming an Asian woman as Best Actress. Michelle…","2023-03-13T06:53:21.000Z","retweeted"
"We doing #OscarsSoWhite again? Because it’s just three black nominees and Black Panther holding It down. https://t.co/QF88S4m4gW","2023-01-24T14:20:26.000Z","quoted"
"#Oscars producer 1: This #OscarsSoWhite is troubling. We should have a hip hop artist perform. 
#AcademyAwards producer 2: I know just the guy. https://t.co/M9Vm0tRnEQ","2020-02-10T02:38:12.000Z",NA
"RT @tntounsel: My latest for @ConversationUS: Yes, #OscarsSoWhite – but there are still plenty of reasons to celebrate contemporary Black f…","2023-03-11T16:41:58.000Z","retweeted"
"RT @ReignOfApril: ~⁦@TheAcademy⁩ just can’t help themselves. It would’ve been SO easy to highlight South Asian choreographers and dancers f…","2023-03-13T17:39:47.000Z","retweeted"
"Oscar’s like we did woke….we done with that #OscarsSoWhite #Oscars2023 #Oscars #Oscars95","2023-03-13T02:02:49.000Z",NA
"RT @POLITICOliseum: #Supervivientes2023 #JokerWin #OscarsSoWhite  
@COTOMATAMOROS_1 nunca aceptaría ganar #PremiosGoya #Goya2023, merece #O…","2023-02-12T20:59:14.000Z","retweeted"
"RT @supermormongirl: I love Jamie Lee Curtis, but wtf is The Academy doing giving a white lady an award for being in POC movie, especially…","2023-03-13T04:59:58.000Z","retweeted"
"RT @CBSNews: You know the groundbreaking movements - #BlackLivesMatter, #OscarsSoWhite, #SayHerName - but now you’ll get an inside look at…","2023-02-26T21:30:21.000Z","retweeted"
"RT @RoseHorowitz31: Check out my new @Medium post on #WomenToFollow @ReignOfApril.

Learn how her #OscarsSoWhite hashtag became a rallying…","2023-03-13T01:47:30.000Z","retweeted"
"@THR Wow, I'm shocked. #ToLeslie's director's wife paid two PR firms to mount the fake ""grassroots"" campaign for Riseborough. Now the film's getting another release. I wonder how the directors of Till and Woman King feel about this? #OscarsSoWhite 

https://t.co/KHxHYwZN92","2023-01-26T03:45:21.000Z","quoted"
"RT @_BrianaJay: Time to bring back the #OscarsSoWhite campaign","2023-03-13T00:50:27.000Z","retweeted"
"RT @ForAllNerds: Lupita should have been nominated. Twice. #OscarNoms #OscarsSoWhite https://t.co/jeVrZr81TG","2020-01-14T04:43:11.000Z","retweeted"
"RT @EyeForFilm: Between 2008 and 2015, just 8% of Oscar nominees were people of colour. That has now increased to 17%, but it's still 23% s…","2023-03-13T00:26:22.000Z","retweeted"
"RT @ReignOfApril: ~⁦@TheAcademy⁩ just can’t help themselves. It would’ve been SO easy to highlight South Asian choreographers and dancers f…","2023-03-13T14:51:43.000Z","retweeted"
"La academia del #Oscars al servicio del mejor postor! #OscarsSoWhite https://t.co/tKrUQTNeV9","2023-03-13T13:54:34.000Z","quoted"
"Has #OscarsSoWhite changed Hollywood?  https://t.co/aeBw22FA0V","2023-03-09T18:13:37.000Z",NA
"Took 2 weeks &amp; celeb friends to get Risborough an #Oscars nom, with no buzz. When was the last time any of those white celebs did this for a PoC nom? White Hollywood is lip service central. They want PoC money, not PoC voices. #Oscars2023 #OscarNominations2023 #OscarsSoWhite /2","2023-01-24T21:47:39.000Z",NA
"RT @ReignOfApril: It’s 2023. You’re literally celebrating 95 years of awards &amp; are just now naming an Asian woman as Best Actress. Michelle…","2023-03-13T04:04:17.000Z","retweeted"
"RT @AndreaLompio53: Nata da ex schiavi, Hattie McDaniel fu la prima donna di colore a essere nominata migliore attrice non protagonista per…","2023-03-12T14:24:08.000Z","retweeted"
"The Academy Awards has learned nothing from #OscarsSoWhite or #metoo

The #Elvis movie leads nominations as if Elvis wasn’t a sexual predator who preyed on teenage girls. Why weren’t The Woman King, Viola Davis, Ryan Coogler, and Gina Prince-Bythewood not nominated? #racism https://t.co/yadEqW7eHe https://t.co/JUr8ouQszC","2023-01-25T02:07:01.000Z",NA
"@GordonliddyG @Apolocalypses Do you remember the #OscarsSoWhite fiasco. I remember thinking wow hispanics are like 3x times the population but they don't seem to care about representation in movies","2023-03-24T08:38:45.000Z",NA
"RT @EjElite1: This line by Angela Bassett itself was worthy of an #Oscar. #OscarsSoWhite https://t.co/CAK0Ui9rZK","2023-03-13T17:25:54.000Z","retweeted"
"RT @bodycourage: Hattie McDaniel’s speech still brings tears to my eyes. She wasn’t allowed in the #oscars ceremony space because she was b…","2020-02-11T14:41:05.000Z","retweeted"
"RT @drboycewatkins1: We're the only people who complain about the Oscars every year and never realized that we weren't invited in the first…","2023-03-14T01:13:06.000Z","retweeted"
"@iamchrisjudge Are we back to guilting academy votes again? 

I thought the #OscarsSoWhite nonsense was finally behind us 🙄","2023-01-27T12:24:04.000Z",NA
"RT @Olas_Truth: The Academy Awards has learned nothing from #OscarsSoWhite or #metoo

The #Elvis movie led nominations as if Elvis wasn’t a…","2023-01-31T20:49:37.000Z","retweeted"
"RT @devvratchauhan5: बिना भारतीय संस्कृति का मजाक बनाएं RRR ने 
#ऑस्कर और गोल्डन ग्लोब अवार्ड जीत लिया 🇮🇳 #OscarsSoWhite #Oscars95
#oscar #…","2023-03-13T08:42:48.000Z","retweeted"
"Hoy son los  #Oscars95 veremos si ganan los que tienen que ganar, o se dejaron comprar por el discurso de Yeoh con el tema de los #OscarsSoWhite y que Blanchett no lo merece.
Y Brendan Frasier diciendo que lo violaron todo el tiempo y el fracasado movimiento  #MeToo lo salvó 🤡💆🏻‍♀️","2023-03-12T04:09:05.000Z",NA
"RT @ReignOfApril: It’s 2023. You’re literally celebrating 95 years of awards &amp; are just now naming an Asian woman as Best Actress. Michelle…","2023-03-13T15:26:20.000Z","retweeted"
"I LOVE JAMIE. But while watching Wakanda Forever all I could think was “GIVE HER THE DAMN OSCAR NOW” 

She gave us everything. Stay mad Angela. Stay mad 
#OscarsSoWhite #Oscars https://t.co/kCBdAifh4g","2023-03-13T13:51:53.000Z","quoted"
"I’m happy for Michelle Yeoh but the fact we had 2 great performance by 2 Black women this past year and neither of them are on this list tells me all I need to know about the Oscars (per usual) 🤷🏾‍♂️ #Oscars2023 #OscarsSoWhite #OscarNominations2023 https://t.co/C6rGGlTKGa","2023-01-24T15:11:46.000Z","quoted"
"For those saying how do we know Riseborough took DEADWYLER and Viola Davis’s slots, we do know. 

Viola Davis hit all the precursors as Cate Blanchett and Michelle Yeoh. Deadwyler hit most precursors. 

#Oscars #OscarsSoWhite","2023-01-29T00:03:58.000Z",NA
"RT @EjElite1: This line by Angela Bassett itself was worthy of an #Oscar. #OscarsSoWhite https://t.co/CAK0Ui9rZK","2023-03-13T10:50:27.000Z","retweeted"
"My research paper 📝 got approved. I’m doing a deep dive into the #OscarsSoWhite  “hashtag”. Any feedback would be awesome. 
Cma713@gmail.com","2020-02-11T14:50:56.000Z",NA
"🤞Fingers crossed for Angela Bassett  because they got Jamie Lee Curtis up there.😏Let's see what #OscarsSoWhite has in store.
Angela Bassett has an incredible body of work. Once again #MarvelStudios #BlackPanther cast/production has been nominated for an #Oscar haters go to hell https://t.co/MAslezNEo2","2023-01-24T14:03:54.000Z","quoted"
"COMMENTARY: The behind-the-scenes campaigning – combined with the film colony’s diversity push – are shaping the Oscars, while stoking concerns the awards once caned for being #OscarsSoWhite risk turning into #OscarsSoWoke. Read more: https://t.co/mf3JJaDVJm https://t.co/OIGsQUQy4u","2023-03-16T07:30:02.000Z",NA
"Not saying any of these actors or movies are undeserving of an #Oscar but if you have to pick one that stands above the rest in these categories, it’s sadly almost never the right one at the #Oscars
#FilmTwitter may protest this view but you know in your heart #OscarsSoWhite","2023-02-27T10:05:30.000Z",NA
"RT @JamilSmith: This, plus the “Till” and “Woman King” snubs. #OscarsSoWhite, redux. https://t.co/DQiMSgjsem","2023-01-24T17:15:04.000Z","retweeted"
"RT @FilmFatalesOrg: No women were nominated for Best Director this year so we are highlighting past winners. Shout out to  Chloé Zhao who b…","2023-03-13T01:59:19.000Z","retweeted"
"RT @EjElite1: This line by Angela Bassett itself was worthy of an #Oscar. #OscarsSoWhite https://t.co/CAK0Ui9rZK","2023-03-13T05:52:46.000Z","retweeted"
"Once again #OscarsSoWhite  this beautiful talented Black Woman knows what we all know. That she deserved to win that Oscar. Fuck them at this point seriously fuck em https://t.co/lCqILHVUnG","2023-03-13T09:44:55.000Z",NA
"Pressionados pelo movimento #OscarsSoWhite - que tomou conta das redes sociais em 2016 - e pelas recentes denúncias do movimento #BlackLivesMatters, a Academia vem tomando medidas para garantir a diversidade em suas edições.

⬇️","2023-03-12T19:35:11.000Z",NA
"RT @EjElite1: This line by Angela Bassett itself was worthy of an #Oscar. #OscarsSoWhite https://t.co/CAK0Ui9rZK","2023-03-13T03:37:04.000Z","retweeted"
"But now a new hashtag suggests itself. Yes, it seems #OscarsSoWhite has been supplanted by #OscarsSoWoke.
 https://t.co/51a8AN3zOK","2023-03-14T19:22:38.000Z",NA
"RT @bodycourage: Hattie McDaniel’s speech still brings tears to my eyes. She wasn’t allowed in the #oscars ceremony space because she was b…","2020-02-10T05:26:16.000Z","retweeted"
"RT @Olas_Truth: The Academy Awards has learned nothing from #OscarsSoWhite or #metoo

The #Elvis movie led nominations as if Elvis wasn’t a…","2023-01-31T20:52:13.000Z","retweeted"
"#OscarsSoWhite right now with this Byrne song","2023-03-13T01:09:51.000Z",NA
"RT @EjElite1: This line by Angela Bassett itself was worthy of an #Oscar. #OscarsSoWhite https://t.co/CAK0Ui9rZK","2023-03-13T03:33:41.000Z","retweeted"
"The #Oscar2023 snubbed Angela Basset…. I won’t be watching this year or next ✌🏾#OscarsSoWhite","2023-03-13T00:57:10.000Z",NA
"RT @SholaMos1: ❤️I love Michelle Yeoh 👏🏽👏🏽👏🏽👏🏽👏🏽 #BestActress in #Oscars2023 is so very well deserved - that in its 95 yrs only TWO non-Whi…","2023-03-13T07:32:01.000Z","retweeted"
"RT @ChristopheLloyd: I'm happy for Andrea Riseborough, but the fact a bunch of high-profile Hollywood actresses campaigned for her teeny li…","2023-01-25T02:00:52.000Z","retweeted"
"#OscarsSoWhite is the story of the night once again.","2023-03-13T01:17:36.000Z",NA
"@TheAcademy So this dumb bear gets more time while Guneet Monga was cut off from speaking. Shame on you @TheAcademy #Oscarssoracist #OscarsSoWhite https://t.co/6JJfeyfAN8","2023-03-13T02:27:00.000Z",NA
"I see that the Oscars have really addressed their #OscarsSoWhite issues. 

I also noticed that they only allow one woman of color to be nominated for best Actress. (And yes, Ana is white Cuban). https://t.co/PCUPfuYyIp","2023-01-24T15:45:56.000Z","quoted"
"Next week stars will gather at the #Oscars, but it's the #diversity debate that could take centre stage 🎥

Professor Deborah Shaw from @UniPortCCI says despite efforts to improve inclusion, there's still more the industry can do. 

@devorahshawa @UoPFMC #OscarsSoWhite #film #TV https://t.co/oDZZEihwoP","2023-03-09T09:31:41.000Z",NA
"I am convinced that people on fbk refuse to repost small business post because they fear you will do better than them. Smh  #Oscars #OscarsSoWhite #LSUvsCLEM #crochet #DeltaSigmaTheta #smallbusiness #AcademyAwards #GeauxTigers  #BlackExcellence #BlackTwitter #writerscommunity https://t.co/ibQ807iwBq","2020-01-13T20:13:38.000Z",NA
"RT @FilmFatalesOrg: For women directors, there is no lack of talent - just a lack of recognition! As award season approaches, we're kicking…","2020-01-06T02:27:00.000Z","retweeted"
"RT @__Adjei: #OscarsSoWhite was also corny because it showed how desperate some Blacks are for whites to acknowledge them.","2023-01-27T14:44:57.000Z","retweeted"
"#Oscars continue to prove our communities of color right that they don't respect, under value, and generally don't appreciate artists of color - Angela Bassett AND Stephanie Hsu deserved to win AISR and still the academy got the selection pitifully wrong 😒😮‍💨 #OscarsSoWhite","2023-03-13T00:58:39.000Z",NA
"RT @jonahmv: I wrote about the resurrection of #OscarsSoWhite. Since the first Academy Awards in 1929, this is the 83rd time film academy v…","2023-01-24T21:42:44.000Z","retweeted"
"RT @AWFJ: Read @NikkiFowler28's insider report on the 2023 @theaafca awards ceremony for the #AllianceofWomenFilmJournalists. 
https://t.co…","2023-03-06T01:20:34.000Z","retweeted"
"Everyone did NOT enjoy #TopGunMaverick stfu @jimmykimmel #oscarssowhite","2023-03-13T00:12:00.000Z",NA
"RT @EjElite1: This line by Angela Bassett itself was worthy of an #Oscar. #OscarsSoWhite https://t.co/CAK0Ui9rZK","2023-03-13T16:16:32.000Z","retweeted"
"RT @JamilSmith: This, plus the “Till” and “Woman King” snubs. #OscarsSoWhite, redux. https://t.co/DQiMSgjsem","2023-01-24T16:09:11.000Z","retweeted"
"RT @ReignOfApril: It’s 2023. You’re literally celebrating 95 years of awards &amp; are just now naming an Asian woman as Best Actress. Michelle…","2023-03-13T04:13:08.000Z","retweeted"
"RT @EjElite1: This line by Angela Bassett itself was worthy of an #Oscar. #OscarsSoWhite https://t.co/CAK0Ui9rZK","2023-03-13T12:33:34.000Z","retweeted"
"RT @bodycourage: Hattie McDaniel’s speech still brings tears to my eyes. She wasn’t allowed in the #oscars ceremony space because she was b…","2020-02-10T11:49:09.000Z","retweeted"
"RT @NessaWilliams: #oscarssowhite #grammyssowhite 🤦🏾‍♀️  How the Oscars and Grammys Thrive on the Lie of Meritocracy  https://t.co/jf5LBMYV…","2023-02-17T02:23:16.000Z","retweeted"
"https://t.co/QAzGw2qER2
#Oscars #Oscars95 #OscarsOnAstro #Oscar #OscarsIE #Oscar2023 #Oscars2023 #OscarsSoWhite","2023-03-13T15:00:26.000Z",NA
"RT @FilmFatalesOrg: No women were nominated for Best Director this year so we are highlighting past winners. Shout out to  Chloé Zhao who b…","2023-03-13T03:18:55.000Z","retweeted"
"Like every February, I’ve been watching a lot of movies to get myself Oscars ready (despite having a love hate relationship with them. #OscarsSoWhite) and generally just catch up on some movies. Watched three this past week. Some quick takes:","2023-02-07T00:30:24.000Z",NA
"#OscarsSoWhite 2.0? Director of ‘Till’ Blasts Oscars’ Lack of Black Women Nominations https://t.co/t8mr78Vlbg","2023-01-25T18:06:09.000Z",NA
"RT @PG13Reynolds: Celebrating the first auteur black director * Oscar Micheaux

“Your self image is so powerful it unwittingly becomes your…","2023-02-07T11:52:24.000Z","retweeted"
"RT @goneboymarc: THIS IS A COMPLETELY ABSURD! PURE RACISM!! WTF HOW COULD THEY NOT GIVE HER AN OSCAR FOR THIS SHE WAS BY FAR THE BEST ON HE…","2023-03-13T08:06:34.000Z","retweeted"
"I finally watched it. Very interesting movie. Congratulations to all the winners. However if you’re voting member you should watch all movies that are being nominated. #OscarsSoWhite #OscarsFailedAgain","2023-03-14T19:12:29.000Z",NA
"RT @DarrickHamilton: Damn shame that “The Woman King” will not even win one Oscar from the Academy of Motion Pictures. Apparently, Hollywoo…","2023-03-13T03:58:35.000Z","retweeted"
"RT @DeJourAmour: Let's not let white pundits turn Andrea Riseborough's nomination into a humble act of poor actors and the snubbing of Dani…","2023-01-28T19:20:05.000Z","retweeted"
"RT @junktokyo: 《「パラサイト」のプロデューサーのクァク・シネさんはオスカー作品賞を受賞した最初の非白人女性》
オプラあたりがとっくに獲ってるのでは…と調べたら、ほんとに92年間で初めてだった。男性受賞者も「それでも夜は明ける」で製作も兼ねたスティーブ・マックイー…","2020-02-12T06:31:49.000Z","retweeted"
"Angela lost Stephanie lost why do they hate women of colour #OscarsSoWhite https://t.co/vAhD6l8PcV","2023-03-13T00:47:59.000Z",NA
"Oh… so nobody but Cate Blanchett &amp; Michelle Yeoh deserve the Best Actress nominations they received? I see… fuck the Academy fr. #OscarsSoWhite #Oscars2023 https://t.co/DIAdq1zr6D","2023-01-24T16:47:47.000Z","quoted"
"RT @EjElite1: This line by Angela Bassett itself was worthy of an #Oscar. #OscarsSoWhite https://t.co/CAK0Ui9rZK","2023-03-14T23:52:35.000Z","retweeted"
"RT @a_liberationist: Not a single trans actor was nominated for an Oscar this year. Not one! And not a single Black leading actress or supp…","2023-03-05T23:14:05.000Z","retweeted"
"No women were nominated for Best Director this year so we are highlighting past winners. Shout out to  Chloé Zhao who became the first (and only) woman of color to win best director at the 2021 #Oscars for NOMADLAND. #oscarssowhite #oscarssomale #tokenism https://t.co/upqysqYEGb","2023-03-13T01:23:10.000Z",NA
"RT @DarrickHamilton: Damn shame that “The Woman King” will not even win one Oscar from the Academy of Motion Pictures. Apparently, Hollywoo…","2023-03-14T01:44:22.000Z","retweeted"
"There would be no #OscarsSoWhite if it wasn't for @ReignOfApril https://t.co/kj6ngybzTM","2023-02-23T21:27:15.000Z","quoted"
"Angela Bassett, my queen, we stan you forever. (Also, it was wonderful to see two Asian women with you in this category. Slow incremental change.) #OscarsSoWhite","2023-03-13T00:45:24.000Z",NA
"#Oscarssowhite that if they have a film that has an entire main cast that is Asian, they'll give the award to the only white person in the movie who has barely 10 minutes of speaking lines and no character arc or significance to the story.","2023-03-13T04:03:18.000Z",NA
"RT @ReignOfApril: It’s 2023. You’re literally celebrating 95 years of awards &amp; are just now naming an Asian woman as Best Actress. Michelle…","2023-03-13T04:20:21.000Z","retweeted"
"#AlShabaab #Kenya #KOTNightSpree  #MondayMood #OscarNoms #Oscars2020 #Oscars #OscarsSoWhite","2020-01-13T19:16:16.000Z",NA
"RT @CarrieCnh12: People have a problem with Hollywood until Black women have been made the main targets, then all of a sudden, it's cricket…","2023-03-18T01:34:34.000Z","retweeted"
"RT @raventbrunner: The Academy shut out Black women from the Oscars and then snubbed Angela Bassett for Best Supporting to give JLC a legac…","2023-03-13T02:00:05.000Z","retweeted"
"RT @ReignOfApril: Tonight!! #OscarsSoWhite","2023-03-13T15:39:29.000Z","retweeted"
"The fact Avatar 2, genuinely one of the worst films of a certain level I've  e v e r seen, is nominated for a Best Picture Oscar while The Woman King wasn't acknowledged in  a n y  category tells you all you need to know about #OscarsSoWhite","2023-01-26T16:25:55.000Z",NA
"RT @__PettyShabazz: You non-Blacks are far too comfortable with speaking on Angela Bassett and Tems at #TheOscars  during Women’s History M…","2023-03-13T06:05:49.000Z","retweeted"
"@2xStephen Jada started it with leading a #OscarsSoWhite protest not for all black people but for her husband not getting nominated for a flop. It was crazy ask. And Chris called it out as BS. He didn’t roast her. He responded to her PUBLIC protest. There’s a difference.","2023-03-05T21:24:26.000Z",NA
"Ya'll ain't right...did it again to Angela Bassett! Not right
#Oscar2023 #OscarsSoWhite 
#BlackRock 
#whatslovegottodowithit
#BlackPantherWakandaForever","2023-03-13T00:49:42.000Z",NA
